model,cv_roc_auc,cv_roc_auc_std,cv_pr_auc,cv_f1
Gradient Boosting,0.7274683493376612,0.004913640577512345,0.244907308835309,0.0012341126266679913
Logistic Regression,0.6088568722935888,0.00798284824248945,0.16995860041514974,0.00024752475247524753
